source,target,weight,example_content_ids
alpha_002,alpha_011,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_001,alpha_002,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_002,alpha_003,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_002,alpha_005,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_002,alpha_008,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_004,alpha_012,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_004,alpha_009,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_004,alpha_007,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_004,alpha_011,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_001,alpha_004,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_003,alpha_004,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_004,alpha_005,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_004,alpha_008,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_009,alpha_012,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_007,alpha_012,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_011,alpha_012,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_001,alpha_012,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_003,alpha_012,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_005,alpha_012,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_008,alpha_012,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_007,alpha_009,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_009,alpha_011,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_001,alpha_009,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_003,alpha_009,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_005,alpha_009,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_008,alpha_009,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_007,alpha_011,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_001,alpha_007,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_003,alpha_007,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_005,alpha_007,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_007,alpha_008,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_001,alpha_011,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_003,alpha_011,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_005,alpha_011,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_008,alpha_011,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_001,alpha_003,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_001,alpha_005,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_001,alpha_008,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_003,alpha_005,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_003,alpha_008,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
alpha_005,alpha_008,15,alpha_asset_01;alpha_asset_02;alpha_asset_03;alpha_asset_04;alpha_asset_05
beta_004,beta_006,9,beta_asset_01;beta_asset_02;beta_asset_03;beta_asset_04;beta_asset_05
beta_004,beta_009,9,beta_asset_01;beta_asset_02;beta_asset_03;beta_asset_04;beta_asset_05
beta_006,beta_009,8,beta_asset_01;beta_asset_03;beta_asset_04;beta_asset_06;beta_asset_07
beta_006,beta_008,8,beta_asset_01;beta_asset_02;beta_asset_03;beta_asset_07;beta_asset_08
beta_007,beta_009,8,beta_asset_01;beta_asset_02;beta_asset_03;beta_asset_05;beta_asset_06
beta_002,beta_009,8,beta_asset_01;beta_asset_02;beta_asset_05;beta_asset_06;beta_asset_07
beta_004,beta_007,8,beta_asset_01;beta_asset_02;beta_asset_03;beta_asset_05;beta_asset_06
beta_005,beta_006,7,beta_asset_02;beta_asset_04;beta_asset_06;beta_asset_07;beta_asset_08
beta_002,beta_006,7,beta_asset_01;beta_asset_02;beta_asset_03;beta_asset_07;beta_asset_08
beta_006,beta_007,7,beta_asset_01;beta_asset_03;beta_asset_06;beta_asset_07;beta_asset_08
beta_004,beta_008,7,beta_asset_01;beta_asset_02;beta_asset_03;beta_asset_04;beta_asset_07
beta_002,beta_004,6,beta_asset_01;beta_asset_02;beta_asset_06;beta_asset_07;beta_asset_09
beta_001,beta_009,6,beta_asset_02;beta_asset_03;beta_asset_05;beta_asset_06;beta_asset_08
beta_001,beta_004,6,beta_asset_02;beta_asset_05;beta_asset_06;beta_asset_08;beta_asset_09
beta_001,beta_007,6,beta_asset_02;beta_asset_03;beta_asset_05;beta_asset_06;beta_asset_07
beta_001,beta_006,6,beta_asset_02;beta_asset_04;beta_asset_06;beta_asset_09;beta_asset_10
beta_001,beta_005,6,beta_asset_02;beta_asset_04;beta_asset_06;beta_asset_07;beta_asset_09
beta_002,beta_007,6,beta_asset_01;beta_asset_02;beta_asset_07;beta_asset_08;beta_asset_09
beta_003,beta_008,5,beta_asset_01;beta_asset_03;beta_asset_04;beta_asset_09;beta_asset_11
beta_002,beta_008,5,beta_asset_01;beta_asset_02;beta_asset_07;beta_asset_08;beta_asset_11
beta_002,beta_005,5,beta_asset_02;beta_asset_03;beta_asset_06;beta_asset_07;beta_asset_08
beta_008,beta_009,5,beta_asset_01;beta_asset_03;beta_asset_04;beta_asset_07;beta_asset_11
beta_007,beta_008,5,beta_asset_01;beta_asset_03;beta_asset_07;beta_asset_08;beta_asset_11
beta_001,beta_008,5,beta_asset_02;beta_asset_03;beta_asset_09;beta_asset_10;beta_asset_11
beta_004,beta_005,5,beta_asset_02;beta_asset_04;beta_asset_06;beta_asset_07;beta_asset_09
beta_005,beta_009,5,beta_asset_04;beta_asset_06;beta_asset_07;beta_asset_08;beta_asset_11
beta_001,beta_003,5,beta_asset_03;beta_asset_05;beta_asset_07;beta_asset_08;beta_asset_09
beta_003,beta_009,5,beta_asset_02;beta_asset_03;beta_asset_04;beta_asset_05;beta_asset_08
news_005,news_006,4,breaking_news_01;breaking_news_02;breaking_news_03;breaking_news_04
news_002,news_005,4,breaking_news_01;breaking_news_02;breaking_news_03;breaking_news_04
beta_005,beta_008,4,beta_asset_02;beta_asset_07;beta_asset_08;beta_asset_09
beta_003,beta_004,4,beta_asset_03;beta_asset_04;beta_asset_08;beta_asset_11
beta_005,beta_007,4,beta_asset_06;beta_asset_07;beta_asset_08;beta_asset_11
news_001,news_005,4,breaking_news_01;breaking_news_02;breaking_news_03;breaking_news_04
news_001,news_004,4,breaking_news_01;breaking_news_02;breaking_news_03;breaking_news_04
news_001,news_003,4,breaking_news_01;breaking_news_02;breaking_news_03;breaking_news_04
news_001,news_002,4,breaking_news_01;breaking_news_02;breaking_news_03;breaking_news_04
news_003,news_004,4,breaking_news_01;breaking_news_02;breaking_news_03;breaking_news_04
news_003,news_005,4,breaking_news_01;breaking_news_02;breaking_news_03;breaking_news_04
news_001,news_006,4,breaking_news_01;breaking_news_02;breaking_news_03;breaking_news_04
news_003,news_006,4,breaking_news_01;breaking_news_02;breaking_news_03;breaking_news_04
news_004,news_006,4,breaking_news_01;breaking_news_02;breaking_news_03;breaking_news_04
news_004,news_005,4,breaking_news_01;breaking_news_02;breaking_news_03;breaking_news_04
news_002,news_003,4,breaking_news_01;breaking_news_02;breaking_news_03;breaking_news_04
news_002,news_006,4,breaking_news_01;breaking_news_02;breaking_news_03;breaking_news_04
news_002,news_004,4,breaking_news_01;breaking_news_02;breaking_news_03;breaking_news_04
beta_002,beta_003,3,beta_asset_05;beta_asset_08;beta_asset_11
beta_001,beta_002,3,beta_asset_02;beta_asset_05;beta_asset_11
beta_003,beta_005,3,beta_asset_07;beta_asset_08;beta_asset_09
beta_003,beta_007,3,beta_asset_02;beta_asset_03;beta_asset_07
beta_003,beta_006,2,beta_asset_01;beta_asset_11
fan_006,fan_008,2,fan_event_03;fan_event_05
fan_001,fan_007,1,fan_event_02
fan_009,fan_010,1,fan_event_02
fan_007,fan_009,1,fan_event_04
fan_005,fan_007,1,fan_event_04
fan_003,fan_009,1,fan_event_06
fan_003,fan_010,1,fan_event_07
organic_027,organic_039,1,topic_004
organic_045,organic_058,1,topic_081
