post_id,views,likes,comments,downstream_conversions
p_00087,216,16,0,0
p_00489,23699,1076,91,12
p_00490,12698,946,55,7
p_00492,16757,843,64,3
p_00494,24758,1851,73,18
p_00120,596,47,3,0
p_00418,938,35,0,1
p_00419,2154,142,1,2
p_00764,3623,172,20,0
p_00645,2669,91,12,1
p_00763,2977,124,3,0
p_00761,4893,109,15,0
p_00760,7493,265,27,0
p_00762,5100,276,2,0
p_00648,3791,77,10,3
p_00759,6678,106,39,0
p_00649,27319,1707,45,6
p_00647,6853,166,10,6
p_00651,6515,95,31,4
p_00650,4920,229,14,2
p_00646,13165,299,68,4
p_00241,170,6,0,0
p_00031,369,7,1,0
p_00407,3647,43,6,7
p_00238,1599,27,7,0
p_00307,363,20,0,0
p_00345,740,51,3,1
p_00402,665,37,1,0
p_00009,1443,23,2,0
p_00365,700,15,2,0
p_00007,1880,63,3,4
p_00295,774,39,1,1
p_00265,322,13,0,0
p_00224,3654,231,4,10
p_00264,871,57,2,2
p_00207,2170,62,7,1
p_00367,305,20,1,0
p_00017,1627,35,3,2
p_00420,1050,51,4,1
p_00766,3672,249,6,0
p_00768,10385,587,15,0
p_00511,24507,963,63,18
p_00769,4230,91,19,0
p_00506,12231,638,22,1
p_00508,6088,367,12,2
p_00765,3946,195,12,0
p_00509,15093,378,10,9
p_00770,5848,165,22,0
p_00507,12059,402,57,6
p_00500,8987,137,40,1
p_00767,11968,483,22,0
p_00502,11833,780,51,7
p_00505,15991,262,88,5
p_00503,5963,456,17,1
p_00510,13094,802,64,9
p_00504,6628,387,34,3
p_00501,11712,926,66,2
p_00201,237,14,1,0
p_00215,1115,13,4,3
p_00254,323,24,1,0
p_00299,869,60,1,2
p_00410,1548,19,5,3
p_00075,634,37,1,0
p_00439,701,10,1,1
p_00397,2857,153,15,3
p_00073,1050,27,0,2
p_00349,958,63,5,2
p_00179,2105,134,5,2
p_00425,5648,445,26,15
p_00093,671,26,3,1
p_00653,5265,158,11,2
p_00654,5681,73,3,2
p_00658,6508,374,11,3
p_00652,7546,490,7,7
p_00657,11400,486,44,10
p_00655,5897,468,10,1
p_00656,7270,333,12,4
p_00172,1331,33,2,1
p_00187,539,41,2,0
p_00710,3690,293,5,17
p_00707,4239,88,21,16
p_00716,1283,32,4,2
p_00717,4575,326,8,6
p_00711,5310,383,30,8
p_00708,2146,104,2,7
p_00709,2209,79,4,5
p_00714,1772,45,7,2
p_00519,27107,1886,87,4
p_00513,37688,1294,159,25
p_00518,9519,273,50,4
p_00514,15768,1114,69,10
p_00523,19908,1171,84,13
p_00516,22515,1613,119,4
p_00517,16186,1097,19,1
p_00522,20804,1399,105,4
p_00521,8369,87,17,3
p_00512,13173,371,52,7
p_00520,12343,797,13,5
p_00515,13524,458,53,10
p_00713,4658,80,26,22
p_00225,628,37,0,0
p_00712,2031,69,7,6
p_00391,574,6,0,1
p_00718,2267,100,10,5
p_00719,1295,103,3,2
p_00724,5589,119,27,15
p_00715,979,56,4,1
p_00722,2765,211,3,5
p_00725,2670,146,7,7
p_00037,829,65,2,0
p_00721,1564,19,6,2
p_00723,2233,157,6,5
p_00163,1181,81,5,2
p_00720,2378,45,1,8
p_00726,2034,88,2,8
p_00404,1583,91,4,1
p_00388,869,44,1,0
p_00731,766,24,2,3
p_00730,1378,41,5,4
p_00728,422,27,0,1
p_00330,414,32,0,0
p_00727,1757,93,7,5
p_00209,752,34,0,0
p_00044,917,11,0,1
p_00237,402,23,1,0
p_00036,717,15,0,0
p_00736,4186,316,3,4
p_00729,3148,187,16,9
p_00733,3093,207,2,7
p_00385,1492,72,7,4
p_00154,4723,289,4,8
p_00078,517,14,0,0
p_00735,1491,50,2,7
p_00734,2332,130,7,9
p_00739,5097,406,29,9
p_00732,2349,56,9,8
p_00738,1549,94,7,6
p_00742,664,22,1,1
p_00737,2068,125,6,5
p_00741,3388,247,9,15
p_00740,2674,66,10,12
p_00743,702,43,0,2
p_00746,2431,64,14,4
p_00134,1106,77,3,1
p_00128,1386,63,3,2
p_00383,667,14,1,1
p_00745,831,15,4,3
p_00355,2272,60,2,3
p_00744,1893,128,5,4
p_00024,321,17,1,0
p_00306,679,41,2,0
p_00535,10330,713,50,4
p_00533,19218,342,38,4
p_00524,13459,635,76,1
p_00530,16809,764,12,5
p_00527,11657,921,67,2
p_00534,18257,841,58,7
p_00532,14128,279,9,8
p_00528,19904,1137,116,4
p_00525,7570,432,22,1
p_00526,11094,761,63,6
p_00531,13330,597,51,7
p_00529,13233,994,56,1
p_00005,2080,52,8,4
p_00171,3316,185,19,2
p_00260,358,28,0,0
p_00145,1161,71,6,2
p_00660,8367,275,34,4
p_00661,9214,373,46,7
p_00662,9756,469,5,2
p_00665,3630,213,9,1
p_00664,3004,79,7,1
p_00659,16368,694,42,11
p_00663,11561,535,36,10
p_00056,295,13,1,0
p_00041,240,16,1,0
p_00344,1647,123,1,1
p_00302,1124,38,1,3
p_00256,231,7,1,0
p_00360,829,26,3,1
p_00127,406,7,0,0
p_00026,1905,43,6,4
p_00168,554,15,3,1
p_00158,1159,76,4,1
p_00280,992,51,4,2
p_00236,636,16,1,1
p_00111,292,21,0,0
p_00176,3639,235,7,3
p_00109,709,11,2,1
p_00040,2436,124,3,3
p_00267,1490,24,0,1
p_00030,1250,65,4,2
p_00538,9406,421,55,4
p_00546,6526,382,17,1
p_00544,25718,2041,31,15
p_00537,9422,571,34,1
p_00539,10192,739,15,1
p_00545,11030,285,27,3
p_00543,12275,810,21,1
p_00542,8548,612,34,4
p_00536,4928,280,29,1
p_00547,14304,701,64,8
p_00541,8802,678,12,4
p_00540,11788,283,40,6
p_00148,821,28,3,1
p_00372,435,32,0,1
p_00150,374,28,1,1
p_00142,697,32,2,1
p_00333,1046,70,5,0
p_00102,701,8,1,1
p_00356,478,36,1,0
p_00231,309,11,0,0
p_00153,1225,54,7,3
p_00338,6597,162,37,17
p_00668,6939,495,36,3
p_00666,6283,410,13,5
p_00670,6025,353,14,2
p_00672,4377,240,21,4
p_00671,6543,415,9,4
p_00674,10402,394,13,6
p_00673,4744,92,27,1
p_00667,5985,464,17,3
p_00669,6873,119,27,3
p_00228,184,9,0,0
p_00282,756,60,0,0
p_00130,2958,233,5,6
p_00123,549,7,1,1
p_00081,704,47,2,2
p_00405,1919,76,2,3
p_00015,273,11,0,0
p_00550,7139,437,33,4
p_00556,5372,210,16,0
p_00549,9453,236,5,4
p_00558,14419,1129,70,3
p_00551,12005,580,36,2
p_00553,15688,264,49,10
p_00559,9902,428,25,6
p_00548,8117,342,39,3
p_00554,8945,363,17,5
p_00557,19301,244,105,13
p_00555,31913,2318,127,17
p_00552,9204,134,30,4
p_00268,1297,74,0,2
p_00178,522,31,0,0
p_00186,305,19,1,0
p_00242,412,9,0,0
p_00118,2318,26,2,2
p_00108,1595,48,7,4
p_00276,287,5,1,0
p_00107,2984,164,10,7
p_00188,536,27,1,1
p_00291,1886,126,7,4
p_00403,670,17,1,1
p_00062,458,18,1,0
p_00335,752,41,1,2
p_00157,719,50,3,1
p_00422,785,33,4,1
p_00162,1125,72,4,2
p_00406,1037,78,0,3
p_00197,318,6,1,0
p_00175,588,40,2,1
p_00180,1435,73,4,2
p_00678,9054,644,36,6
p_00675,2518,53,7,2
p_00677,5913,143,21,4
p_00683,4155,220,6,3
p_00679,12812,132,60,8
p_00676,4743,295,7,1
p_00680,6207,126,13,2
p_00682,8356,666,21,7
p_00681,17151,883,45,15
p_00243,652,38,0,0
p_00240,264,4,0,0
p_00206,2465,135,2,4
p_00116,3083,161,13,5
p_00222,4468,129,22,11
p_00054,466,15,2,0
p_00564,12070,787,40,7
p_00561,7231,291,7,2
p_00569,11079,574,50,2
p_00571,7624,495,8,4
p_00567,27843,1915,72,10
p_00562,28227,998,66,6
p_00568,24208,283,122,2
p_00566,12879,976,24,3
p_00560,5454,387,27,2
p_00570,15231,667,18,6
p_00563,9511,579,30,1
p_00565,25528,539,98,16
p_00135,622,38,2,0
p_00325,828,22,4,0
p_00424,762,22,3,0
p_00181,2963,130,2,1
p_00294,722,53,0,0
p_00095,129,9,0,0
p_00298,1821,141,6,3
p_00133,257,20,0,0
p_00433,588,14,2,1
p_00046,1303,44,1,2
p_00053,872,22,1,0
p_00052,1054,19,5,1
p_00421,2250,33,9,5
p_00277,463,20,0,0
p_00576,12566,873,52,9
p_00579,4174,201,3,2
p_00581,7674,509,23,3
p_00574,9039,299,42,1
p_00572,8436,205,44,3
p_00573,10600,678,6,8
p_00580,5982,254,32,0
p_00575,11145,623,55,1
p_00577,50863,3270,295,18
p_00582,12720,833,46,3
p_00578,6328,416,16,3
p_00583,12463,731,60,2
p_00124,1776,124,9,2
p_00438,686,49,2,0
p_00337,650,26,2,0
p_00152,915,35,5,2
p_00386,2778,151,3,6
p_00074,773,8,2,0
p_00692,11408,688,61,7
p_00690,7382,517,36,2
p_00685,5463,326,12,3
p_00689,13689,479,44,7
p_00687,6217,208,9,5
p_00691,10533,282,13,2
p_00688,8961,372,41,4
p_00684,12957,892,40,6
p_00066,3032,164,3,8
p_00261,349,5,0,0
p_00686,12749,330,65,11
p_00094,1802,82,3,4
p_00119,305,3,0,0
p_00347,1354,86,6,3
p_00035,1036,29,5,2
p_00317,1537,63,4,1
p_00063,4104,198,10,10
p_00332,585,43,1,1
p_00319,835,25,4,2
p_00288,1621,125,7,0
p_00380,1468,99,3,1
p_00395,1204,32,0,0
p_00378,3907,121,14,6
p_00071,386,5,2,0
p_00258,382,21,1,1
p_00594,11533,143,42,7
p_00584,11204,783,37,8
p_00587,7964,586,33,1
p_00588,13457,962,49,9
p_00586,3581,144,17,1
p_00593,16400,1188,48,8
p_00585,24972,1477,45,12
p_00590,21844,377,57,10
p_00595,32110,1671,147,24
p_00591,11168,607,9,5
p_00589,8654,114,10,3
p_00592,6674,520,15,1
p_00195,291,8,0,0
p_00343,840,8,0,1
p_00257,701,35,2,1
p_00350,491,36,1,0
p_00413,1064,36,3,0
p_00069,491,21,2,1
p_00434,509,19,2,0
p_00137,267,14,0,0
p_00253,610,8,2,0
p_00248,1009,18,2,2
p_00401,160,6,0,0
p_00285,505,7,1,0
p_00025,1027,36,3,2
p_00697,8459,461,46,1
p_00696,11206,206,61,8
p_00693,7769,368,9,1
p_00694,6514,286,23,2
p_00695,5916,110,21,1
p_00362,2471,170,10,5
p_00348,449,25,0,0
p_00089,1999,131,10,3
p_00211,525,38,1,1
p_00377,1693,88,7,2
p_00598,5503,199,7,3
p_00606,7349,251,9,5
p_00601,10974,605,43,1
p_00602,9386,298,39,3
p_00596,11002,390,18,5
p_00603,11945,236,37,6
p_00607,13712,622,79,1
p_00599,9933,369,13,1
p_00597,11506,724,34,1
p_00600,15559,1196,34,2
p_00605,10583,552,53,7
p_00604,11518,389,40,4
p_00340,1284,62,4,1
p_00246,1495,46,2,2
p_00305,1340,18,3,1
p_00234,184,3,0,0
p_00310,1633,72,4,3
p_00245,2166,52,5,4
p_00216,4301,186,14,2
p_00384,1099,77,1,2
p_00099,1305,24,6,3
p_00080,1476,30,4,4
p_00088,668,29,3,1
p_00430,217,5,1,0
p_00032,2463,112,7,3
p_00255,2089,80,10,6
p_00210,1073,53,6,2
p_00194,766,31,3,2
p_00613,11292,162,60,8
p_00616,15789,1181,9,8
p_00608,3218,187,14,1
p_00615,8537,299,42,2
p_00614,14518,359,83,4
p_00609,18562,204,84,5
p_00617,15227,941,19,10
p_00619,17329,1102,89,9
p_00702,10045,162,31,6
p_00611,11233,164,27,4
p_00610,8645,575,49,1
p_00612,5155,232,25,0
p_00618,13306,179,11,7
p_00698,2740,81,13,1
p_00704,4361,167,23,4
p_00706,5735,314,33,2
p_00703,2203,77,8,1
p_00701,1260,67,1,0
p_00699,7340,197,32,5
p_00705,8621,400,11,5
p_00700,8760,254,28,7
p_00112,515,7,2,1
p_00205,647,6,2,0
p_00202,690,7,1,1
p_00113,1016,32,1,2
p_00281,305,9,1,0
p_00374,466,18,2,1
p_00312,1227,71,3,0
p_00437,826,44,3,1
p_00297,1943,122,11,5
p_00138,2413,74,2,5
p_00114,1469,51,8,0
p_00269,2352,94,7,4
p_00125,577,7,2,0
p_00287,338,22,1,0
p_00043,1476,105,2,2
p_00065,361,18,0,0
p_00390,1213,38,4,2
p_00122,436,26,0,0
p_00292,690,9,0,0
p_00091,1454,41,7,2
p_00033,747,28,2,1
p_00086,405,4,1,0
p_00014,914,29,4,2
p_00141,1390,64,8,3
p_00085,1538,43,0,1
p_00083,1441,92,4,1
p_00387,333,10,1,0
p_00058,277,19,0,0
p_00324,1031,43,2,2
p_00353,1091,15,1,1
p_00239,826,35,0,1
p_00230,241,18,1,0
p_00092,912,13,2,2
p_00067,1079,25,1,1
p_00104,2503,50,12,4
p_00169,1402,52,5,2
p_00394,469,14,1,1
p_00408,328,19,0,0
p_00351,460,35,1,0
p_00192,4777,215,20,5
p_00247,771,32,2,1
p_00214,674,8,0,1
p_00370,287,19,1,0
p_00382,725,50,1,1
p_00139,250,12,0,0
p_00314,1299,102,2,2
p_00077,1262,26,3,3
p_00002,911,24,3,2
p_00250,417,26,1,0
p_00432,1310,13,3,0
p_00103,330,22,1,0
p_00381,1456,58,0,1
p_00143,4816,145,12,3
p_00229,736,58,0,2
p_00352,534,33,2,0
p_00174,2583,130,6,7
p_00189,519,18,2,0
p_00076,1690,39,9,1
p_00129,908,11,0,0
p_00283,418,29,0,0
p_00106,977,49,3,1
p_00022,1433,42,3,3
p_00415,771,33,2,1
p_00289,1876,96,2,1
p_00232,1825,27,1,1
p_00156,641,29,1,1
p_00301,1273,74,6,1
p_00021,1240,25,6,2
p_00218,216,2,0,0
p_00064,1159,11,3,2
p_00161,522,13,1,1
p_00182,922,24,0,1
p_00412,1546,107,4,3
p_00322,358,11,1,0
p_00191,619,45,3,0
p_00006,1299,81,3,3
p_00371,3608,173,15,2
p_00047,1964,126,7,1
p_00278,1510,90,7,1
p_00048,269,12,0,0
p_00318,1458,85,6,3
p_00359,775,57,3,1
p_00101,1529,101,2,1
p_00389,1257,42,7,1
p_00272,1276,62,7,2
p_00140,1674,61,2,2
p_00316,1566,18,8,2
p_00342,1770,104,10,0
p_00304,266,17,0,0
p_00354,674,9,2,1
p_00023,1570,103,5,1
p_00059,1257,24,6,1
p_00012,612,43,2,0
p_00018,450,12,1,1
p_00309,2367,25,9,6
p_00217,1106,53,2,0
p_00155,394,13,1,0
p_00013,304,4,1,0
p_00110,584,19,0,1
p_00039,229,17,0,0
p_00429,2194,86,10,2
p_00117,2860,84,5,2
p_00105,1182,54,1,0
p_00090,863,15,2,2
p_00409,1830,62,4,2
p_00423,2055,50,6,2
p_00203,429,33,1,0
p_00208,402,6,2,0
p_00151,579,31,2,1
p_00027,722,7,4,0
p_00263,1718,90,3,3
p_00290,358,18,1,0
p_00003,1395,71,6,1
p_00341,1179,45,0,2
p_00072,263,20,0,0
p_00249,1354,31,5,3
p_00286,881,54,4,0
p_00166,780,21,2,1
p_00055,3639,98,16,7
p_00121,2711,64,14,1
p_00323,479,13,0,0
p_00262,516,31,1,0
p_00136,564,38,2,1
p_00400,1087,81,3,2
p_00020,1320,81,4,3
p_00050,333,11,1,0
p_00233,2118,75,11,2
p_00428,5949,387,17,12
p_00416,307,12,0,0
p_00185,1562,117,1,3
p_00098,578,6,1,0
p_00115,1785,24,5,3
p_00084,605,17,0,1
p_00045,2849,42,4,2
p_00329,1689,97,1,4
p_00227,1178,37,2,1
p_00008,9502,330,48,13
p_00049,2430,76,13,6
p_00146,812,36,4,1
p_00082,1167,20,3,3
p_00336,1032,72,4,1
p_00204,9781,685,45,25
p_00321,4652,265,6,4
p_00393,363,9,0,0
p_00426,1959,41,1,3
p_00131,1872,40,10,1
p_00398,508,12,1,0
p_00198,328,8,0,0
p_00293,298,23,1,0
p_00001,571,22,1,1
p_00226,4010,88,13,9
p_00334,1226,86,4,1
p_00097,398,7,0,0
p_00373,961,56,1,0
