account_id,group_label,created_at,disclosure_status,profile_type
organic_044,organic,2025-05-22T09:00:00,none,synthetic_demo
organic_045,organic,2025-09-24T09:00:00,none,synthetic_demo
organic_046,organic,2025-07-25T09:00:00,none,synthetic_demo
organic_047,organic,2024-01-11T09:00:00,none,synthetic_demo
organic_048,organic,2025-03-23T09:00:00,none,synthetic_demo
organic_049,organic,2025-11-18T09:00:00,none,synthetic_demo
organic_050,organic,2025-11-28T09:00:00,none,synthetic_demo
organic_051,organic,2025-02-06T09:00:00,none,synthetic_demo
organic_052,organic,2025-11-23T09:00:00,none,synthetic_demo
organic_053,organic,2025-02-28T09:00:00,none,synthetic_demo
organic_054,organic,2023-10-17T09:00:00,none,synthetic_demo
organic_055,organic,2025-03-15T09:00:00,none,synthetic_demo
organic_056,organic,2024-06-22T09:00:00,none,synthetic_demo
organic_057,organic,2025-06-05T09:00:00,none,synthetic_demo
organic_058,organic,2023-11-27T09:00:00,none,synthetic_demo
organic_059,organic,2026-01-17T09:00:00,none,synthetic_demo
organic_060,organic,2024-02-14T09:00:00,none,synthetic_demo
alpha_001,coordinated_alpha,2024-11-17T09:00:00,none,synthetic_demo
alpha_002,coordinated_alpha,2024-08-30T09:00:00,none,synthetic_demo
alpha_003,coordinated_alpha,2025-10-26T09:00:00,none,synthetic_demo
alpha_004,coordinated_alpha,2025-02-08T09:00:00,none,synthetic_demo
alpha_005,coordinated_alpha,2025-12-12T09:00:00,none,synthetic_demo
alpha_006,coordinated_alpha,2024-08-14T09:00:00,none,synthetic_demo
alpha_007,coordinated_alpha,2025-05-06T09:00:00,none,synthetic_demo
alpha_008,coordinated_alpha,2023-11-04T09:00:00,none,synthetic_demo
alpha_009,coordinated_alpha,2024-05-28T09:00:00,none,synthetic_demo
alpha_010,coordinated_alpha,2024-06-07T09:00:00,none,synthetic_demo
alpha_011,coordinated_alpha,2025-02-25T09:00:00,none,synthetic_demo
alpha_012,coordinated_alpha,2024-07-19T09:00:00,none,synthetic_demo
beta_001,coordinated_beta,2025-08-18T09:00:00,none,synthetic_demo
beta_002,coordinated_beta,2024-03-11T09:00:00,none,synthetic_demo
beta_003,coordinated_beta,2025-12-21T09:00:00,none,synthetic_demo
beta_004,coordinated_beta,2026-01-15T09:00:00,none,synthetic_demo
beta_005,coordinated_beta,2024-04-24T09:00:00,none,synthetic_demo
beta_006,coordinated_beta,2025-07-12T09:00:00,none,synthetic_demo
beta_007,coordinated_beta,2024-01-01T09:00:00,none,synthetic_demo
beta_008,coordinated_beta,2025-05-10T09:00:00,none,synthetic_demo
beta_009,coordinated_beta,2025-12-11T09:00:00,none,synthetic_demo
fan_001,benign_fan_wave,2025-07-07T09:00:00,fan,synthetic_demo
fan_002,benign_fan_wave,2025-11-19T09:00:00,fan,synthetic_demo
fan_003,benign_fan_wave,2025-02-06T09:00:00,fan,synthetic_demo
fan_004,benign_fan_wave,2025-05-22T09:00:00,fan,synthetic_demo
fan_005,benign_fan_wave,2024-11-23T09:00:00,fan,synthetic_demo
fan_006,benign_fan_wave,2024-05-21T09:00:00,fan,synthetic_demo
fan_007,benign_fan_wave,2023-10-30T09:00:00,fan,synthetic_demo
fan_008,benign_fan_wave,2025-02-22T09:00:00,fan,synthetic_demo
fan_009,benign_fan_wave,2025-09-17T09:00:00,fan,synthetic_demo
fan_010,benign_fan_wave,2025-02-16T09:00:00,fan,synthetic_demo
news_001,news_breaking,2025-03-04T09:00:00,publisher,synthetic_demo
news_002,news_breaking,2025-07-31T09:00:00,publisher,synthetic_demo
news_003,news_breaking,2024-04-15T09:00:00,publisher,synthetic_demo
news_004,news_breaking,2025-06-02T09:00:00,publisher,synthetic_demo
news_005,news_breaking,2024-03-14T09:00:00,publisher,synthetic_demo
news_006,news_breaking,2024-04-02T09:00:00,publisher,synthetic_demo
